,Artist,Song
0,twenty one pilots,Stressed Out
1,Elle King,Ex's & Oh's
2,James Bay,Let It Go
3,Coldplay,Adventure Of A Lifetime
4,Disturbed,The Sound Of Silence
5,X Ambassadors,Renegades
6,twenty one pilots,Ride
7,Empire Of The Sun,Walking On A Dream
8,The Lumineers,Ophelia
9,X Ambassadors,Unsteady
10,Panic! At The Disco,Victorious
11,Miike Snow,Genghis Khan
12,Elle King,America's Sweetheart
13,Coldplay,Hymn For The Weekend
14,Panic! At The Disco,Emperor's New Clothes
15,The Strumbellas,Spirits
16,The 1975,The Sound
17,Panic! At The Disco,Death Of A Bachelor
18,Kaleo,Way Down We Go
19,Foals,Mountain At My Gates
20,Shinedown,State Of My Head
21,Nothing But Thieves,Trip Switch
22,Cage The Elephant,Mess Around
23,BANNERS,Start A Riot
24,Hozier,Arsonist's Lullabye
25,The 1975,Somebody Else
26,The Struts,Kiss This
27,M83.,"Do It, Try It"
28,Five Finger Death Punch,Wash It All Away
29,Panic! At The Disco,Don't Threaten Me With A Good Time
30,Ben Rector,Brand New
31,Disturbed,The Light
32,Bring Me The Horizon,Happy Song
33,Foo Fighters,Saint Cecilia
34,JR JR,Gone
35,AWOLNATION,Woman Woman
36,BORNS,"10,000 Emerald Pools"
37,3 Doors Down,In The Dark
38,Panic! At The Disco,LA Devotee
39,Birdy,Keeping Your Head Up
40,twenty one pilots,Message Man
41,BORNS,Past Lives
42,Tame Impala,The Less I Know The Better
43,Sturgill Simpson,Brace For Impact (Live A Little)
44,Sixx: A.M.,Rise
45,Nothing More,Here's To The Heartache
46,The 1975,UGH!
47,St. Lucia,Dancing On Glass
48,Mumford & Sons,Ditmas
49,PVRIS,You And I
50,Imagine Dragons,Believer
51,twenty one pilots,Heathens
52,Linkin Park Featuring Kiiara,Heavy
53,twenty one pilots,Ride
54,Fitz And The Tantrums,HandClap
55,Kaleo,Way Down We Go
56,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain
57,Coldplay,Hypnotised
58,Lana Del Rey,Love
59,twenty one pilots,Heavydirtysoul
60,Rag'n'Bone Man,Human
61,Zach Williams,Chain Breaker
62,Green Day,Still Breathing
63,The Revivalists,Wish I Knew You
64,Highly Suspect,My Name Is Human
65,NEEDTOBREATHE,Testify
66,Kings Of Leon,Waste A Moment
67,Shinedown,How Did You Love
68,The Lumineers,Angela
69,Skillet,Stars
70,MISSIO,Middle Fingers
71,Cold War Kids,Love Is Mystical
72,Andrew McMahon In The Wilderness,Fire Escape
73,Papa Roach,Help
74,Portugal. The Man,Feel It Still
75,Kaleo,All The Pretty Girls
76,John Mayer,Love On The Weekend
77,The xx,On Hold
78,Milky Chance,Cocoon
79,Cage The Elephant,Cold Cold Cold
80,Starset,Monster
81,Catfish And The Bottlemen,7
82,John Mayer,Still Feel Like Your Man
83,Sylvan Esso,Die Young
84,Seether,Let You Down
85,LANY,Good Girls
86,Spoon,Hot Thoughts
87,Metallica,"Atlas, Rise!"
88,Beartooth,Hated
89,Bastille,Blame
90,DREAMERS,Sweet Disaster
91,LP,Lost On You
92,Incubus,Nimble Bastard
93,Breaking Benjamin,Never Again
94,Maggie Rogers,Alaska
95,Bob Moses,Tearing Me Up
96,Bishop Briggs,Wild Horses
97,Nickelback,Feed The Machine
98,Mondo Cozmo,Shine
99,NEEDTOBREATHE,Hard Love
